objective,194.7172863892419
runtime (milliseconds),31
Y,0,77.75
y,1,66.08749999999999
Y,1,66.08749999999999
y,2,66.08749999999999
Y,2,66.08749999999999
y,3,66.08749999999999
Y,3,66.08749999999999
y,4,66.08749999999999
Y,4,66.08749999999999
y,5,66.08749999999999
Y,5,66.08749999999999
tau,6,665.2350541404915
y,6,19.4375
Y,6,63.4034956317111
y,7,66.08749999999999
Y,7,66.08749999999999
y,8,66.08749999999999
Y,8,66.08749999999999
y,9,66.08749999999999
Y,9,66.08749999999999
tau,10,329.5481829165244
y,10,6.53931708347568
Y,10,19.4375
y,11,66.08749999999999
Y,11,66.08749999999999
tau,12,573.531936787205
y,12,19.4375
Y,12,19.4375
tau,13,573.531936787205
y,13,19.4375
Y,13,58.30560134979727
y,14,66.08749999999999
Y,14,66.08749999999999
tau,15,551.7082039324994
y,15,13.148239811324018
Y,15,19.4375
y,16,66.08749999999999
Y,16,66.08749999999999
tau,17,762.0293863659265
Y,17,52.85743185057325
y,18,66.08749999999999
Y,18,66.08749999999999
y,19,66.08749999999999
Y,19,66.08749999999999
tau,20,365.0673881550474
y,20,21.751519736699887
Y,20,38.091884472499515
y,21,19.4375
Y,21,19.4375
y,22,19.4375
Y,22,19.4375
tau,23,24.020824298928574
y,23,52.94962490781518
Y,23,61.864268908934505
y,24,66.08749999999999
Y,24,66.08749999999999
y,25,66.08749999999999
Y,25,66.08749999999999
tau,26,1064.0
y,26,24.302106737989085
tau,27,20.615528128088272
y,27,45.47197187191169
tau,28,137.75989387195705
y,28,18.32760612804303
tau,29,66.0
y,29,50.818907891747244
tau,30,655.0
y,30,17.0293863659264
tau,31,1106.0
y,31,50.24334360149872
tau,32,845.0
y,32,36.20055461424021
tau,33,264.2970585407784
y,33,32.52184935096889
tau,34,949.9168108424153
y,34,48.38529589557368
tau,35,234.1630181093899
y,35,11.924481890610181
tau,36,131.23105625617654
y,36,24.85644374382339
tau,37,437.0
y,37,22.860338260771698
tau,38,29.732137494637072
y,38,36.355362505362976
tau,39,455.0
y,39,19.85644374382339
tau,40,171.29705854077838
y,40,35.52184935096889
tau,41,1236.0
zH,0,23,10.882949206743824
zL,26,41,17.496073037008813
zL,10,12.89818291652432
zL,15,6.289260188675982
zL,17,19.4375
