objective,18.50969150507026
runtime (milliseconds),15
Y,0,77.75
y,1,66.08749999999999
Y,1,66.08749999999999
y,2,66.08749999999999
Y,2,66.08749999999999
y,3,66.08749999999999
Y,3,66.08749999999999
y,4,66.08749999999999
Y,4,66.08749999999999
y,5,66.08749999999999
Y,5,66.08749999999999
tau,6,790.3301305918743
y,6,19.4375
Y,6,70.28247369303645
tau,7,168.12696001695306
y,7,19.4375
Y,7,19.4375
y,8,66.08749999999999
Y,8,66.08749999999999
tau,9,128.05625992299613
y,9,10.245564375932396
Y,9,45.68630949681338
y,10,66.08749999999999
Y,10,66.08749999999999
y,11,66.08749999999999
Y,11,66.08749999999999
y,12,66.08749999999999
Y,12,66.08749999999999
tau,13,24.020824298928574
y,13,19.4375
Y,13,66.08749999999999
tau,14,24.020824298928574
y,14,19.4375
Y,14,19.4375
tau,15,24.020824298928574
y,15,19.4375
Y,15,19.4375
tau,16,24.020824298928574
y,16,42.06667570107136
Y,16,42.06667570107136
tau,17,84.93526959963779
y,17,43.36655469929079
tau,18,68.53214536220494
y,18,49.769678936723636
tau,19,56.53214536220494
y,19,51.769678936723636
tau,20,832.0
y,20,48.44214402519489
tau,21,937.0
y,21,12.0415945787923
tau,22,960.0
zL,21,22,19.4375
zH,6,4.194973693036459
zL,9,9.191935624067604
